iter	RMSE
0	25.89810033
1	25.10562814
2	24.35264114
3	23.61040577
4	22.880539
5	22.22596666
6	21.57175571
7	21.01099883
8	20.46782625
9	19.94572797
10	19.44575062
11	18.99730606
12	18.57460641
13	18.16847235
14	17.79052839
15	17.42130911
16	17.09346331
17	16.77922435
18	16.46532988
19	16.18809726
20	15.90214903
21	15.63025488
22	15.39777824
23	15.17026439
24	14.94455715
25	14.74831071
26	14.56339406
27	14.38607271
28	14.22530037
29	14.06762141
30	13.91297706
31	13.7675651
32	13.64061753
33	13.52240451
34	13.39871541
35	13.29779651
36	13.20045768
37	13.09964623
38	13.00890676
39	12.90971737
40	12.81874218
41	12.72781349
42	12.6559833
43	12.59198759
44	12.51913561
45	12.46808217
46	12.39793071
47	12.33486286
48	12.28189014
49	12.22195259
50	12.17043351
51	12.11584379
52	12.07195016
53	12.00612798
54	11.96259802
55	11.9040742
56	11.85136131
57	11.8158237
58	11.77015187
59	11.72453074
60	11.67960695
61	11.64925921
62	11.61701518
63	11.58647237
64	11.55443515
65	11.52062555
66	11.48743495
67	11.45077558
68	11.42527859
69	11.3965907
70	11.37349397
71	11.34912127
72	11.32032492
73	11.29479715
74	11.27414265
75	11.253164
76	11.22109077
77	11.19155759
78	11.16950616
79	11.14256535
80	11.11571115
81	11.09842829
82	11.078034
83	11.04894816
84	11.03786669
85	11.01650699
86	10.99731407
87	10.97110922
88	10.94422528
89	10.91637101
90	10.89928801
91	10.88014421
92	10.86364214
93	10.84608831
94	10.82031105
95	10.79899625
96	10.77596418
97	10.76236673
98	10.75424596
99	10.73573438
100	10.72519529
101	10.70695659
102	10.6844949
103	10.67184371
104	10.66187327
105	10.65058176
106	10.63151457
107	10.61242218
108	10.60156457
109	10.57661513
110	10.56426592
111	10.54603172
112	10.5347109
113	10.52061171
114	10.51086144
115	10.49635478
116	10.48226905
117	10.47228427
118	10.46253008
119	10.45479023
120	10.43920802
121	10.42705763
122	10.41354628
123	10.40974743
124	10.39473435
125	10.37764456
126	10.3579146
127	10.34368816
128	10.34269769
129	10.33293534
130	10.32517091
131	10.31031487
132	10.300948
133	10.29269109
134	10.270755
135	10.26065964
136	10.23091801
137	10.21519735
138	10.20311739
139	10.18815898
140	10.18034133
141	10.17048637
142	10.15654122
143	10.14635846
144	10.12070761
145	10.1089657
146	10.09876246
147	10.08839902
148	10.0833456
149	10.0758312
150	10.06733665
151	10.04948494
152	10.03007022
153	10.01961799
154	10.01896996
155	10.00521978
156	9.993629016
157	9.98151727
158	9.980764522
159	9.966471627
160	9.958087536
161	9.945032988
162	9.922883173
163	9.917428242
164	9.908809395
165	9.897493881
166	9.881840684
167	9.867271743
168	9.859277024
169	9.8424052
170	9.832113555
171	9.823814508
172	9.806677636
173	9.796507141
174	9.791280513
175	9.786110165
176	9.770900627
