iter	RMSE
177	9.750733142
178	9.735753443
179	9.73463395
180	9.722349471
181	9.719104929
182	9.712406293
183	9.702076396
184	9.690702148
185	9.675480859
186	9.666837486
187	9.656932235
188	9.652866222
189	9.637996045
190	9.627797767
191	9.612091996
192	9.597429792
193	9.588039081
194	9.581089701
195	9.565536566
196	9.559387457
197	9.549124522
198	9.539264384
199	9.529393578
200	9.517013643
201	9.509963627
202	9.506401201
203	9.496085457
204	9.484305265
205	9.476126706
206	9.46558454
207	9.450433628
208	9.440120987
209	9.438289071
210	9.432796336
211	9.420930573
212	9.409487255
213	9.39741955
214	9.383915061
215	9.376167527
216	9.360360158
217	9.345865565
218	9.331874721
219	9.320522481
220	9.308345294
221	9.299015074
222	9.289868975
223	9.27125135
224	9.266542669
225	9.26204288
226	9.249548775
227	9.244981488
228	9.232777511
229	9.232231604
230	9.218324256
231	9.209108469
232	9.20366227
233	9.195707058
234	9.186531024
235	9.181975532
236	9.173046556
237	9.170771759
238	9.162221621
239	9.159510788
240	9.147268665
241	9.143034075
242	9.137252302
243	9.129898271
244	9.12964367
245	9.12488877
246	9.121129232
247	9.109380134
248	9.099274714
249	9.091311808
250	9.080326053
251	9.074821326
252	9.073842302
253	9.061529675
254	9.057041178
255	9.052063721
256	9.049442823
257	9.040483351
258	9.039769844
259	9.033286761
260	9.031306946
261	9.020535987
262	9.015769707
263	9.008474902
264	9.005523973
265	9.004805158
266	8.997216597
267	8.996274672
268	8.985988679
269	8.983108332
270	8.982955492
271	8.972148546
272	8.971418241
273	8.971278653
274	8.959220446
275	8.954792507
276	8.952527168
277	8.952416417
278	8.95192765
279	8.942678664
280	8.937919792
281	8.929558385
282	8.921571886
283	8.911198929
284	8.909871905
285	8.909766936
286	8.903420429
287	8.894353101
288	8.882368188
289	8.873047772
290	8.86080998
291	8.860711726
292	8.849226751
293	8.839692889
294	8.834088789
295	8.83077429
296	8.830682944
297	8.830601544
298	8.822457666
299	8.815510336
300	8.815418684
301	8.813176235
302	8.812766736
303	8.81145647
304	8.81137313
305	8.811313751
306	8.804240897
307	8.804156802
308	8.798089217
309	8.797474869
310	8.793259745
311	8.780540746
312	8.774296289
313	8.766241182
314	8.761723778
315	8.756248638
316	8.746903147
317	8.733752463
318	8.725299022
319	8.714152134
320	8.708996937
321	8.706887024
322	8.706727772
323	8.705816941
324	8.69801069
325	8.68889587
326	8.681219399
327	8.675574873
328	8.665272384
329	8.658523915
330	8.648705227
331	8.64084649
332	8.631135816
333	8.629274101
334	8.62803043
335	8.619309963
336	8.610818149
337	8.602790062
338	8.584402197
339	8.584036665
340	8.582504344
341	8.580687276
342	8.573244856
343	8.565197793
344	8.5651425
345	8.562043541
346	8.548104899
347	8.530104012
348	8.529913958
349	8.520108359
350	8.515997826
351	8.513547774
352	8.504324314
353	8.49360638
354	8.485225633
355	8.481537179
356	8.479135815
357	8.476198947
358	8.462903807
359	8.453384134
360	8.453138485
361	8.442357801
362	8.436039891
363	8.427024601
364	8.423646159
365	8.417327025
366	8.416520413
367	8.410388333
368	8.405636099
369	8.395852215
370	8.386787064
371	8.383546921
372	8.377022757
373	8.36670028
374	8.365943323
375	8.361447006
376	8.351765187
377	8.34706239
378	8.339807364
379	8.335215262
380	8.332200609
381	8.322180457
382	8.314151226
383	8.308424642
384	8.307204837
385	8.304222734
386	8.302605465
387	8.298026326
388	8.295314107
389	8.290640232
390	8.290601114
391	8.284736055
392	8.276651729
393	8.265708401
394	8.261021335
395	8.244716767
396	8.242216493
397	8.233474455
398	8.22332914
399	8.221592502
400	8.212595412
401	8.208817263
402	8.195966535
403	8.188969002
404	8.186783036
405	8.174426498
406	8.162269818
407	8.153567661
408	8.153517659
409	8.142225302
410	8.134901482
411	8.132231858
412	8.124002091
413	8.121113003
414	8.120006789
415	8.110766377
416	8.101970924
417	8.092210278
418	8.077895801
419	8.076520794
420	8.070721823
421	8.066986522
422	8.05788893
423	8.047060729
424	8.03903883
425	8.027534641
426	8.027433172
427	8.016062134
428	8.008270906
429	8.008130279
430	8.005965527
431	7.998115242
432	7.987679804
433	7.985176897
434	7.974553003
435	7.967657663
436	7.956825629
437	7.955109916
438	7.951621388
439	7.951587927
440	7.944810356
441	7.944768998
442	7.940041505
443	7.931725468
444	7.923998251
445	7.923971722
446	7.91440111
447	7.910337582
448	7.909923392
449	7.905441395
450	7.901251462
451	7.894997214
452	7.89088299
453	7.889162272
454	7.888216207
455	7.885822318
456	7.874843393
457	7.867167725
458	7.861231648
459	7.85084441
460	7.839172662
461	7.8333906
462	7.825594459
463	7.822142426
464	7.818651136
465	7.81750538
466	7.810933129
467	7.802826179
468	7.794102215
469	7.784715558
470	7.771429554
471	7.767846839
472	7.76494916
473	7.759514255
474	7.752401436
475	7.741558043
476	7.74022513
477	7.734516818
478	7.732432266
479	7.726787818
480	7.721685008
481	7.710856875
482	7.705154188
483	7.699665592
484	7.699292004
485	7.697281714
486	7.691512935
487	7.689206326
488	7.684927731
489	7.678186537
490	7.669427337
491	7.668162782
492	7.66488009
493	7.656775512
494	7.652045884
495	7.652006693
496	7.645755435
497	7.641852221
498	7.634317322
499	7.623460416
500	7.618057398
501	7.613228764
502	7.60361904
503	7.599841734
504	7.593770073
505	7.58936109
506	7.58891535
507	7.584472922
508	7.577428688
509	7.577399682
510	7.56937073
511	7.565129979
512	7.560773849
513	7.552363612
514	7.548135057
515	7.542241182
516	7.540692428
517	7.540057555
518	7.537500232
519	7.537377246
520	7.528268551
521	7.520872028
522	7.514542434
523	7.508161071
524	7.504088088
525	7.499693321
526	7.493648102
527	7.485493106
528	7.481862185
529	7.473743691
530	7.46898209
531	7.463949323
532	7.463111649
533	7.456587607
534	7.446542504
535	7.444943054
536	7.442637713
537	7.436173743
538	7.430702878
539	7.427756065
540	7.422552383
541	7.418268142
542	7.410940757
543	7.405500328
544	7.40230838
545	7.397883742
546	7.397461758
547	7.393773244
548	7.389028108
549	7.38548238
550	7.385170556
551	7.377372557
552	7.369614482
553	7.362252664
554	7.358436564
555	7.353478332
556	7.345072127
557	7.33836964
558	7.335494328
559	7.329098603
560	7.325096422
561	7.317494751
562	7.316560186
563	7.314083769
564	7.310094161
565	7.304674807
566	7.304632307
567	7.297022667
568	7.294232991
569	7.290315909
570	7.283603616
571	7.276700025
572	7.272840125
573	7.268872767
574	7.265924698
575	7.260707937
576	7.254896974
577	7.248883961
578	7.245023513
579	7.244034
580	7.23924597
581	7.236257581
582	7.229830568
583	7.22121756
584	7.217306091
585	7.210387079
586	7.202861959
587	7.196041889
588	7.192672758
589	7.189571996
590	7.185115356
591	7.178841042
592	7.173031857
593	7.16820053
594	7.166454062
595	7.163748346
596	7.156575545
597	7.149871708
598	7.144884752
599	7.144851991
600	7.137395121
601	7.136734279
602	7.133974067
603	7.126223602
604	7.11812402
605	7.113862648
606	7.108582188
607	7.103142354
608	7.097386638
609	7.097158884
610	7.090947011
611	7.088027549
612	7.084523225
613	7.084138901
614	7.077491213
615	7.071750612
616	7.066412024
617	7.060122608
618	7.055286457
619	7.051705325
620	7.051460907
621	7.047737843
622	7.044389445
623	7.035330485
624	7.028644865
625	7.02295442
626	7.016171577
627	7.010067118
628	7.008777377
629	7.000674501
630	6.994791402
631	6.988639389
632	6.982393349
633	6.975957191
634	6.968831975
635	6.9656187
636	6.962135762
637	6.953603263
638	6.945601536
639	6.938625402
640	6.938596387
641	6.938428318
642	6.931758401
643	6.925119585
644	6.921070726
645	6.911828634
646	6.903637446
647	6.899124547
648	6.894661285
649	6.887659142
650	6.882532844
651	6.878185289
652	6.870282535
653	6.865769716
654	6.859503036
655	6.859436478
656	6.851515258
657	6.846804039
658	6.842907382
659	6.842448139
660	6.84241913
661	6.834927774
662	6.829862875
663	6.82481951
664	6.821319337
665	6.817403341
666	6.812802787
667	6.808463113
668	6.808034869
669	6.807889479
670	6.803182421
671	6.800272052
672	6.796609392
673	6.792801765
674	6.787997942
675	6.786362302
676	6.780794259
677	6.775283533
678	6.774580156
679	6.766526328
680	6.757842891
681	6.752172182
682	6.743982944
683	6.739958073
684	6.735359643
685	6.728787486
686	6.725211794
687	6.721645599
688	6.721262771
689	6.715624595
690	6.708953434
691	6.705949525
692	6.69906372
693	6.692481257
694	6.68955683
695	6.687195614
696	6.683769061
697	6.678948819
698	6.676513978
699	6.671718467
700	6.671194931
701	6.664439868
702	6.658354435
703	6.654849931
704	6.653296821
705	6.645723435
706	6.643441055
707	6.641212516
708	6.64026685
709	6.635548679
710	6.635515185
711	6.631037213
712	6.630362284
713	6.628973496
714	6.626451799
715	6.622294124
716	6.615022228
717	6.609855411
718	6.60733252
719	6.60061897
720	6.594920798
721	6.590334413
722	6.583998667
723	6.575647877
724	6.573998403
725	6.573571537
726	6.569443117
727	6.567381838
728	6.567349166
729	6.563665187
730	6.559401051
731	6.55762139
732	6.553358732
733	6.547994149
734	6.54182748
735	6.538602304
736	6.530520218
737	6.528047408
738	6.527615981
739	6.524795739
740	6.517764961
741	6.508188395
742	6.50725778
743	6.507229952
744	6.503331591
745	6.499771168
746	6.498458924
747	6.497713905
748	6.492270353
749	6.48937581
750	6.483870287
751	6.481981318
752	6.475973122
753	6.473939193
754	6.47161402
755	6.471601648
756	6.465883051
757	6.460898378
758	6.458681564
759	6.45638916
760	6.453361997
761	6.444514043
762	6.440849764
763	6.435130083
764	6.433427673
765	6.42985532
766	6.429346445
767	6.428739736
768	6.423092531
769	6.417135138
770	6.416654274
771	6.413071135
772	6.408525043
773	6.406012611
774	6.402559268
775	6.402382945
776	6.401998173
777	6.398984747
778	6.395068116
779	6.392795337
780	6.388275671
781	6.385463095
782	6.38444356
783	6.381785408
784	6.379798007
785	6.375256817
786	6.370852801
787	6.367047651
788	6.363287853
789	6.35922835
790	6.358346328
791	6.355631724
792	6.349722439
793	6.34631609
794	6.345844209
795	6.343064337
796	6.338250217
797	6.335104791
798	6.333160236
799	6.329350734
